        0.0008903      0.2369421      0.1832449
        0.0046873      0.2373966      0.1835870
        0.0115034      0.2382132      0.1842039
        0.0213155      0.2393899      0.1850986
        0.0340909      0.2409240      0.1862752
        0.0497909      0.2428115      0.1877391
        0.0683742      0.2450476      0.1894973
        0.0898008      0.2476264      0.1915585
        0.1140357      0.2505406      0.1939331
        0.1410536      0.2537818      0.1966336
        0.1708431      0.2573393      0.1996746
        0.2034115      0.2612006      0.2030731
        0.2387896      0.2653497      0.2068483
        0.2770362      0.2697671      0.2110222
        0.3182442      0.2744273      0.2156187
        0.3625453      0.2792979      0.2206638
        0.4101173      0.2843361      0.2261848
        0.4611908      0.2894858      0.2322084
        0.5160579      0.2946722      0.2387592
        0.5750833      0.2997963      0.2458551
        0.6387162      0.3047260      0.2535018
        0.7075070      0.3092862      0.2616835
        0.7821270      0.3132456      0.2703488
        0.8633943      0.3163016      0.2793896
        0.9523063      0.3180639      0.2886110
        1.0500824      0.3180386      0.2976872
        1.1582194      0.3156210      0.3061033
        1.2785647      0.3101056      0.3130811
        1.4134136      0.3007350      0.3175003
        1.5656405      0.2868164      0.3178442
        1.7388785      0.2679387      0.3122395
        1.9377669      0.2443085      0.2987239
        2.1683002      0.2171403      0.2759232
        2.4383267      0.1888601      0.2442411
        2.7582758      0.1626475      0.2071653
        3.1422414      0.1409023      0.1712066
        3.6096363      0.1232401      0.1424218
        4.1877879      0.1062341      0.1207754
        4.9161424      0.0861881      0.0998817
        5.8533242      0.0620344      0.0745770
        7.0895048      0.0361109      0.0456122
        8.7691849      0.0142317      0.0192255
       11.1357622      0.0026131      0.0038805
       14.6254008      0.0000948      0.0001618
       20.0840074      0.0000001      0.0000002
       29.3333639      0.0000000      0.0000000
       46.9142406      0.0000000      0.0000000
       86.9309500      0.0000000      0.0000000
      213.3417726      0.0000000      0.0000000
     1123.1864616      0.0000000      0.0000000
