 #             q                 psi(q)
          1.5656405148       -0.0468327952
          1.7388784956       -0.0354233313
          1.9377668853       -0.0263677671
          2.1683001735       -0.0193246437
          2.4383266765       -0.0139521194
          2.7582757561       -0.0099098740
          3.1422413712       -0.0068806353
          3.6096362762       -0.0046037626
          4.1877879212       -0.0028984161
          4.9161423931       -0.0016565937
          5.8533241967       -0.0008127205
          7.0895048046       -0.0003109046
          8.7691849102       -0.0000776638
         11.1357622291       -0.0000089886
         14.6254008022       -0.0000002583
         20.0840073662       -0.0000000009
         29.3333639346       -0.0000000000
         46.9142405700       -0.0000000000
         86.9309500134       -0.0000000000
        213.3417725702        0.0000000000
       1123.1864616060        0.0000000000
  f( -1.4000000000000003 ) =  1.0 2
  the root of f(x) is : 1.0   at x =  -1.4000000000000003
 #             q                 psi(q)
          0.0008903241       -2.1460845815
          0.0046873146       -2.1469283970
